,country,region,success
84,Iraq,Middle East & North Africa,22130
134,Pakistan,South Asia,13634
0,Afghanistan,South Asia,11306
80,India,South Asia,10978
35,Colombia,South America,8163
140,Philippines,Southeast Asia,6212
139,Peru,South America,6088
52,El Salvador,Central America & Caribbean,5320
188,United Kingdom,Western Europe,5098
183,Turkey,Middle East & North Africa,4106
179,Thailand,Southeast Asia,3668
159,Somalia,Sub-Saharan Africa,3482
130,Nigeria,Sub-Saharan Africa,3418
166,Spain,Western Europe,3245
200,Yemen,Middle East & North Africa,3109
167,Sri Lanka,South Asia,2981
189,United States,North America,2758
2,Algeria,Middle East & North Africa,2729
60,France,Western Europe,2642
99,Lebanon,Middle East & North Africa,2454
33,Chile,South America,2351
51,Egypt,Middle East & North Africa,2165
147,Russia,Eastern Europe,2158
197,West Bank and Gaza Strip,Middle East & North Africa,2144
86,Israel,Middle East & North Africa,2133
102,Libya,Middle East & North Africa,2053
71,Guatemala,Central America & Caribbean,2050
160,South Africa,Sub-Saharan Africa,1987
128,Nicaragua,Central America & Caribbean,1970
175,Syria,Middle East & North Africa,1949
186,Ukraine,Eastern Europe,1650
13,Bangladesh,South Asia,1605
87,Italy,Western Europe,1556
68,Greece,Western Europe,1231
123,Nepal,South Asia,967
170,Sudan,Sub-Saharan Africa,861
6,Argentina,South America,806
81,Indonesia,Southeast Asia,735
66,Germany,Western Europe,703
83,Iran,Middle East & North Africa,676
43,Democratic Republic of the Congo,Sub-Saharan Africa,628
27,Burundi,Sub-Saharan Africa,587
93,Kenya,Sub-Saharan Africa,582
198,West Germany (FRG),Western Europe,541
116,Mexico,North America,504
4,Angola,Sub-Saharan Africa,493
121,Myanmar,Southeast Asia,430
111,Mali,Sub-Saharan Africa,417
90,Japan,East Asia,401
185,Uganda,Sub-Saharan Africa,381
120,Mozambique,Sub-Saharan Africa,351
76,Honduras,Central America & Caribbean,322
149,Saudi Arabia,Middle East & North Africa,317
20,Bolivia,South America,314
85,Ireland,Western Europe,290
194,Venezuela,South America,275
23,Brazil,South America,268
28,Cambodia,Southeast Asia,258
34,China,East Asia,247
31,Central African Republic,Sub-Saharan Africa,235
29,Cameroon,Sub-Saharan Africa,234
50,Ecuador,South America,217
65,Georgia,Central Asia,216
75,Haiti,Central America & Caribbean,213
201,Yugoslavia,Eastern Europe,203
94,Kosovo,Eastern Europe,188
12,Bahrain,Middle East & North Africa,186
177,Tajikistan,Central Asia,185
162,South Sudan,Sub-Saharan Africa,171
56,Ethiopia,Sub-Saharan Africa,163
21,Bosnia-Herzegovina,Eastern Europe,159
148,Rwanda,Sub-Saharan Africa,157
122,Namibia,Sub-Saharan Africa,151
16,Belgium,Western Europe,148
142,Portugal,Western Europe,139
129,Niger,Sub-Saharan Africa,139
40,Cyprus,Western Europe,132
124,Netherlands,Western Europe,128
135,Panama,Central America & Caribbean,127
173,Sweden,Western Europe,118
150,Senegal,Sub-Saharan Africa,118
106,Macedonia,Eastern Europe,117
9,Austria,Western Europe,109
174,Switzerland,Western Europe,108
8,Australia,Australasia & Oceania,104
137,Paraguay,South America,104
182,Tunisia,Middle East & North Africa,104
91,Jordan,Middle East & North Africa,101
154,Sierra Leone,Sub-Saharan Africa,98
204,Zimbabwe,Sub-Saharan Africa,98
109,Malaysia,Southeast Asia,95
47,Dominican Republic,Central America & Caribbean,89
32,Chad,Sub-Saharan Africa,85
30,Canada,North America,84
145,Rhodesia,Sub-Saharan Africa,83
136,Papua New Guinea,Australasia & Oceania,81
1,Albania,Eastern Europe,79
165,Soviet Union,Eastern Europe,78
190,Uruguay,South America,76
95,Kuwait,Middle East & North Africa,76
37,Costa Rica,Central America & Caribbean,67
171,Suriname,South America,66
88,Ivory Coast,Sub-Saharan Africa,61
203,Zambia,Sub-Saharan Africa,60
38,Croatia,Eastern Europe,57
70,Guadeloupe,Central America & Caribbean,56
178,Tanzania,Sub-Saharan Africa,53
25,Bulgaria,Eastern Europe,52
180,Togo,Sub-Saharan Africa,48
202,Zaire,Sub-Saharan Africa,48
176,Taiwan,East Asia,48
10,Azerbaijan,Central Asia,47
78,Hungary,Eastern Europe,46
44,Denmark,Western Europe,41
161,South Korea,East Asia,38
48,East Germany (GDR),Eastern Europe,38
119,Morocco,Middle East & North Africa,36
141,Poland,Eastern Europe,36
144,Republic of the Congo,Sub-Saharan Africa,34
89,Jamaica,Central America & Caribbean,34
105,Macau,East Asia,33
101,Liberia,Sub-Saharan Africa,33
96,Kyrgyzstan,Central Asia,32
125,New Caledonia,Australasia & Oceania,31
39,Cuba,Central America & Caribbean,30
41,Czech Republic,Eastern Europe,29
100,Lesotho,Sub-Saharan Africa,29
92,Kazakhstan,Central Asia,27
107,Madagascar,Sub-Saharan Africa,27
77,Hong Kong,East Asia,26
97,Laos,Southeast Asia,26
74,Guyana,South America,26
72,Guinea,Sub-Saharan Africa,25
7,Armenia,Central Asia,24
181,Trinidad and Tobago,Central America & Caribbean,22
187,United Arab Emirates,Middle East & North Africa,22
117,Moldova,Eastern Europe,21
45,Djibouti,Sub-Saharan Africa,21
191,Uzbekistan,Central Asia,21
26,Burkina Faso,Sub-Saharan Africa,20
112,Malta,Western Europe,20
127,New Zealand,Australasia & Oceania,20
67,Ghana,Sub-Saharan Africa,19
110,Maldives,South Asia,18
156,Slovak Republic,Eastern Europe,18
114,Mauritania,Sub-Saharan Africa,18
59,Finland,Western Europe,18
133,Norway,Western Europe,18
58,Fiji,Australasia & Oceania,17
172,Swaziland,Sub-Saharan Africa,16
98,Latvia,Eastern Europe,16
104,Luxembourg,Western Europe,16
55,Estonia,Eastern Europe,16
15,Belarus,Eastern Europe,13
113,Martinique,Central America & Caribbean,12
151,Serbia,Eastern Europe,11
152,Serbia-Montenegro,Eastern Europe,11
49,East Timor,Southeast Asia,10
54,Eritrea,Sub-Saharan Africa,10
42,Czechoslovakia,Eastern Europe,10
22,Botswana,Sub-Saharan Africa,10
195,Vietnam,Southeast Asia,10
73,Guinea-Bissau,Sub-Saharan Africa,9
17,Belize,Central America & Caribbean,8
103,Lithuania,Eastern Europe,8
18,Benin,Sub-Saharan Africa,8
143,Qatar,Middle East & North Africa,7
61,French Guiana,South America,7
155,Singapore,Southeast Asia,7
146,Romania,Eastern Europe,6
132,North Yemen,Middle East & North Africa,6
19,Bhutan,South Asia,6
157,Slovenia,Eastern Europe,6
69,Grenada,Central America & Caribbean,5
36,Comoros,Sub-Saharan Africa,5
11,Bahamas,Central America & Caribbean,5
199,Western Sahara,Middle East & North Africa,5
118,Montenegro,Eastern Europe,5
79,Iceland,Western Europe,4
158,Solomon Islands,Australasia & Oceania,4
63,Gabon,Sub-Saharan Africa,4
108,Malawi,Sub-Saharan Africa,4
46,Dominica,Central America & Caribbean,3
14,Barbados,Central America & Caribbean,3
64,Gambia,Sub-Saharan Africa,3
138,People's Republic of the Congo,Sub-Saharan Africa,3
62,French Polynesia,Australasia & Oceania,3
184,Turkmenistan,Central Asia,2
192,Vanuatu,Australasia & Oceania,2
153,Seychelles,Sub-Saharan Africa,2
164,South Yemen,Middle East & North Africa,2
168,St. Kitts and Nevis,Central America & Caribbean,2
115,Mauritius,South Asia,2
53,Equatorial Guinea,Sub-Saharan Africa,2
193,Vatican City,Western Europe,1
5,Antigua and Barbuda,Central America & Caribbean,1
196,Wallis and Futuna,Australasia & Oceania,1
82,International,Middle East & North Africa,1
163,South Vietnam,Southeast Asia,1
57,Falkland Islands,South America,1
3,Andorra,Western Europe,1
126,New Hebrides,Australasia & Oceania,1
131,North Korea,East Asia,1
24,Brunei,Southeast Asia,1
169,St. Lucia,Central America & Caribbean,1
